Bab,Fasl,Madda,Text,Bab_name,fasl_name
1,1,1,"الباب الأول: الدولة

مادة (١)
جمهورية مصر العربية دولة ذات سيادة، موحدة لا تقبل التجزئة، ولا ينزل عن شئ منها، نظامها جمهورى ديمقراطى، يقوم على أساس المواطنة وسيادة القانون.
الشعب المصرى جزء من الأمة العربية يعمل على تكاملها ووحدتها، ومصر جزء من العالم الإسلامى، تنتمى إلى القارة الأفريقية، وتعتز بامتدادها الآسيوى، وتسهم فى بناء الحضارة الإنسانية.",الباب الأول: الدولة,
1,1,2,"الباب الأول: الدولة

مادة (٢)
الإسلام دين الدولة، واللغة العربية لغتها الرسمية، ومبادئ الشريعة الإسلامية المصدر الرئيسى للتشريع.",الباب الأول: الدولة,
1,1,3,"الباب الأول: الدولة

مادة (٣)
مبادئ شرائع المصريين من المسيحيين واليهود المصدر الرئيسى للتشريعات المنظِّمة لأحوالهم الشخصية، وشئونهم الدينية، واختيار قياداتهم الروحية.",الباب الأول: الدولة,
1,1,4,"الباب الأول: الدولة

مادة (٤)
السيادة للشعب وحده، يمارسها ويحميها، وهو مصدر السلطات، ويصون وحدته الوطنية التى تقوم على مبادئ المساواة والعدل وتكافؤ الفرص بين جميع المواطنين، وذلك على الوجه المبين فى الدستور.",الباب الأول: الدولة,
1,1,5,"الباب الأول: الدولة

مادة (٥)
يقوم النظام السياسي على أساس التعددية السياسية والحزبية، والتداول السلمى للسلطة، والفصل بين السلطات والتوازن بينها، وتلازم المسئولية مع السلطة، واحترام حقوق الإنسان وحرياته، على الوجه المبين فى الدستور.",الباب الأول: الدولة,
1,1,6,"الباب الأول: الدولة

مادة (٦)
الجنسية حق لمن يولد لأب مصرى أو لأم مصرية، والاعتراف القانوني به ومنحه أوراقاً رسمية تثبت بياناته الشخصية، حق يكفله القانون وينظمه.

يحدد القانون شروط اكتساب الجنسية.",الباب الأول: الدولة,
2,1,7," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٧)
الأزهر الشريف هيئة إسلامية علمية مستقلة، يختص دون غيره بالقيام على كافة شئونه، وهو المرجع الأساسى فى العلوم الدينية والشئون الإسلامية، ويتولى مسئولية الدعوة ونشر علوم الدين واللغة العربية فى مصر والعالم.

وتلتزم الدولة بتوفير الاعتمادات المالية الكافية لتحقيق أغراضه.

وشيخ الأزهر مستقل غير قابل للعزل، وينظم القانون طريقة اختياره من بين أعضاء هيئة كبار العلماء.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,8," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٨)
يقوم المجتمع على التضامن الاجتماعى.

وتلتزم الدولة بتحقيق العدالة الاجتماعية وتوفير سبل التكافل الاجتماعى، بما يضمن الحياة الكريمة لجميع المواطنين، على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,9," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (٩)
تلتزم الدولة بتحقيق تكافؤ الفرص بين جميع المواطنين، دون تمييز.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,10," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٠)
الأسرة أساس المجتمع، قوامها الدين والأخلاق والوطنية، وتحرص الدولة على تماسكها واستقرارها وترسيخ قيمها.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,11," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١١)
تكفل الدولة تحقيق المساواة بين المرأة والرجل في جميع الحقوق المدنية والسياسية والاقتصادية والاجتماعية والثقافية وفقا لأحكام الدستور.

وتعمل الدولة على اتخاذ التدابير الكفيلة بضمان تمثيل المرأة تمثيلاً مناسبا في المجالس النيابية، على النحو الذى يحدده القانون، كما تكفل للمرأة حقها فى تولى الوظائف العامة ووظائف الإدارة العليا في الدولة والتعيين فى الجهات والهيئات القضائية، دون تمييز ضدها.

وتلتزم الدولة بحماية المرأة ضد كل أشكال العنف، وتكفل تمكين المرأة من التوفيق بين واجبات الأسرة ومتطلبات العمل.

كما تلتزم بتوفير الرعاية والحماية للأمومة والطفولة والمرأة المعيلة والمسنة والنساء الأشد احتياجا.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,12," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٢)
العمل حق، وواجب، وشرف تكفله الدولة. ولا يجوز إلزام أى مواطن بالعمل جبراً، إلا بمقتضى قانون، ولأداء خدمة عامة، لمدة محددة، وبمقابل عادل، ودون إخلال بالحقوق الأساسية للمكلفين بالعمل.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,13," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٣)
تلتزم الدولة بالحفاظ على حقوق العمال، وتعمل على بناء علاقات عمل متوازنة بين طرفى العملية الانتاجية، وتكفل سبل التفاوض الجماعى، وتعمل على حماية العمال من مخاطر العمل وتوافر شروط الأمن والسلامة والصحة المهنية، ويحظر فصلهم تعسفياً، وذلك كله على النحو الذى ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,14," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٤)
الوظائف العامة حق للمواطنين على أساس الكفاءة، ودون محاباة أو وساطة، وتكليف للقائمين بها لخدمة الشعب، وتكفل الدولة حقوقهم وحمايتهم، وقيامهم بأداء واجباتهم فى رعاية مصالح الشعب، ولا يجوز
فصلهم بغير الطريق التأديبى، إلا فى الأحوال التى يحددها القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,15," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٥)
الإضراب السلمى حق ينظمه القانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,16," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٦)
تلتزم الدولة بتكريم شهداء الوطن، ورعاية مصابى الثورة، والمحاربين القدماء والمصابين، وأسر المفقودين فى الحرب وما فى حكمها، ومصابى العمليات الأمنية، وأزواجهم وأولادهم ووالديهم، وتعمل على توفير فرص العمل لهم، وذلك على النحو الذى ينظمه القانون.
وتشجع الدولة مساهمة منظمات المجتمع المدنى فى تحقيق هذه الأهداف.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,17," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٧)
تكفل الدولة توفير خدمات التأمين الاجتماعى.

ولكل مواطن لا يتمتع بنظام التأمين الاجتماعى الحق فى الضمان الاجتماعى، بما يضمن له حياة كريمة، إذا لم يكن قادرًا على إعالة نفسه وأسرته، وفى حالات العجز عن العمل والشيخوخة والبطالة.

وتعمل الدولة على توفير معاش مناسب لصغار الفلاحين، والعمال الزراعيين والصيادين، والعمالة غير المنتظمة، وفقًا للقانون.

وأموال التأمينات والمعاشات أموال خاصة، تتمتع بجميع أوجه وأشكال الحماية المقررة للأموال العامة، وهى وعوائدها حق للمستفيدين منها، وتستثمر استثماراً آمنا، وتديرها هيئة مستقلة، وفقاً للقانون.

وتضمن الدولة أموال التأمينات والمعاشات.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,18," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٨)
لكل مواطن الحق فى الصحة وفى الرعاية الصحية المتكاملة وفقاً لمعايير الجودة، وتكفل الدولة الحفاظ على مرافق الخدمات الصحية العامة التي تقدم خدماتها للشعب ودعمها والعمل على رفع كفاءتها وانتشارها الجغرافى العادل.

وتلتزم الدولة بتخصيص نسبة من الإنفاق الحكومى للصحة لا تقل عن ٣ ٪ من الناتج القومى الإجمالى تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية.

وتلتزم الدولة بإقامة نظام تأمين صحى شامل لجميع المصريين يغطى كل الأمراض، وينظم القانون إسهام المواطنين فى اشتراكاته أو إعفاءهم منها طبقاً لمعدلات دخولهم.

ويجرم الامتناع عن تقديم العلاج بأشكاله المختلفة لكل إنسان فى حالات الطوارئ أو الخطر على الحياة.

وتلتزم الدولة بتحسين أوضاع الأطباء وهيئات التمريض والعاملين فى القطاع الصحى.

وتخضع جميع المنشآت الصحية، والمنتجات والمواد، ووسائل الدعاية المتعلقة بالصحة لرقابة الدولة، وتشجع الدولة مشاركة القطاعين الخاص والأهلى فى خدمات الرعاية الصحية وفقاً للقانون.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
2,1,19," الباب الثاني: المقومات الأساسية للمجتمع
الفصل الأول: المقومات الاجتماعية
مادة (١٩)
التعليم حق لكل مواطن، هدفه بناء الشخصية المصرية، والحفاظ على الهوية الوطنية، وتأصيل المنهج العلمى فى التفكير، وتنمية المواهب وتشجيع الابتكار، وترسيخ القيم الحضارية والروحية، وإرساء مفاهيم المواطنة والتسامح وعدم التمييز، وتلتزم الدولة بمراعاة أهدافه فى مناهج التعليم ووسائله، وتوفيره وفقاً لمعايير الجودة العالمية.

والتعليم إلزامي حتى نهاية المرحلة الثانوية أو ما يعادلها، وتكفل الدولة مجانيته بمراحله المختلفة فى مؤسسات الدولة التعليمية، وفقاً للقانون.

وتلتزم الدولة بتخصيص نسبة من الإنفاق الحكومى للتعليم لا تقل عن ٤٪ من الناتج القومى الإجمالى، تتصاعد تدريجيا حتى تتفق مع المعدلات العالمية.

وتشرف الدولة عليه لضمان التزام جميع المدارس والمعاهد العامة والخاصة بالسياسات التعليمية لها.", الباب الثاني: المقومات الأساسية للمجتمع,الفصل الأول: المقومات الاجتماعية
